"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YMR191W",78.1783210809663,-0.852947235670546,0.247597450396041,-3.44489506780553,0.000571281118599974,0.0768200115775967
"YIL064W",1331.7804237921,0.5206455504982,0.151193786908667,3.44356445554678,0.000574099730651078,0.0768200115775967
"YLL001W",364.520082266705,0.312517704363758,0.0913642733556942,3.42056794067722,0.00062490524547743,0.0815999755549022
"YLR103C",264.258356767943,0.382419584089928,0.112005972678093,3.41427849735306,0.000639511697687394,0.0815999755549022
"YJL218W",194.371584796237,-0.519755387382946,0.152491182945413,-3.40842911271141,0.00065338058718338,0.0815999755549022
"YBL054W",2306.55452291209,-0.348605967434227,0.102491693380662,-3.40130947138785,0.000670638594011357,0.081934541268344
"YNL259C",2395.71631229493,-0.287746541102391,0.0849974968309445,-3.38535312015957,0.000710867418778736,0.0833448580745523
"YCR015C",2036.47979799421,-0.345181638675381,0.101974589276897,-3.38497699400476,0.000711842204195465,0.0833448580745523
"YHR071W",1424.47653957877,-0.365490940972839,0.109244638190352,-3.34561903473921,0.000820991111527786,0.0934535510169023
"YFL039C",53138.559503089,-0.282271064711149,0.0845151133395588,-3.33988861349638,0.000838119981215113,0.0934535510169023
"YPL189C-A",1798.72128641792,-0.482373682775902,0.144792838215418,-3.33147473812374,0.000863871403222831,0.0934535510169023
"YBL035C",165.203612796023,0.345704489172276,0.103777466416872,3.33120956897896,0.000864694778092334,0.0934535510169023
"YDR380W",975.699917272913,-0.534688493340659,0.161592235317596,-3.30887491153131,0.000936716776908373,0.0983104818301505
"YDR006C",1692.64229938053,-0.296603914078039,0.0897026965831634,-3.30652171423919,0.000944620288047709,0.0983104818301505
"YER048W-A",2383.37334172554,-0.324319644737536,0.0983457336766089,-3.29775001530823,0.000974628634308988,0.0984726498102129
"YDL097C",3141.66582322567,-0.413549755684701,0.125584137330741,-3.29300948730147,0.000991211298586399,0.0984726498102129
"YJR007W",10063.3010354156,-0.203569033271596,0.0618585344128322,-3.29088031593207,0.000998743957149846,0.0984726498102129
"YDR347W",831.655501355447,0.218285861572169,0.0666749993149336,3.2738787223846,0.00106082129939168,0.0997930364422755
"YHR124W",41.2282932826491,0.747470621977407,0.2283183452946,3.27380886110113,0.00106108358891731,0.0997930364422755
"YLR363W-A",2234.30091711047,-0.22242814563967,0.0679655557499249,-3.27265985226518,0.00106540608301362,0.0997930364422755
"YNL034W",35.8632166446051,-0.860937585210227,0.264230737321185,-3.25827946414771,0.00112089961567335,0.103269767870233
"YDR525W-A",734.411792835474,-0.340169571516807,0.105547441561257,-3.22290684155885,0.00126896816713296,0.115025824182052
"YAR002C-A",4071.2804367259,-0.452087209737504,0.140776341389347,-3.21138626899787,0.0013209624625453,0.117838238722295
"YAR003W",252.989316405841,0.312117463520653,0.0974400086942191,3.20317565344358,0.00135921050289717,0.118005129485324
"YDR296W",620.219865758673,0.24476319905083,0.0765672876398409,3.19670719174687,0.00139005954813088,0.118005129485324
"YDR111C",198.905334046058,0.499649913387706,0.156433893338109,3.19400037118418,0.00140315936912802,0.118005129485324
"YIL122W",1313.23192991292,-0.299090207563297,0.0937220181253796,-3.19124804977182,0.00141659603002148,0.118005129485324
"YOR327C",2762.90810687978,-0.52612613513778,0.164983230832748,-3.1889673422091,0.00142782007206442,0.118005129485324
"YIL002W-A",4453.89690153475,-0.260333319456978,0.0820941665754289,-3.17115491047444,0.00151834150362255,0.121468132179234
"YHR049C-A",6.51069037502984,1.91161457494579,0.603662371140511,3.16669493799015,0.00154181968245192,0.121468132179234
"YHL033C",8749.604797863,0.416747185171794,0.131611390445472,3.16649785220875,0.00154286485435223,0.121468132179234
"YLR043C",14881.9344425554,-0.299291852537656,0.094631013239547,-3.16272480122383,0.00156300008003961,0.121468132179234
"YGL056C",820.062710133926,-0.337524504268151,0.10681216068743,-3.15998199171221,0.00157778890553097,0.121468132179234
"YLR390W-A",9150.57896910392,-0.278999110495646,0.0884952583287461,-3.1527012380619,0.00161767277256667,0.122715736152969
"YOR136W",1484.12215544175,-0.440185083310884,0.140150444787398,-3.14080404081931,0.00168484723729161,0.122715736152969
"YDR175C",774.411047027897,0.365588654154111,0.116458941962577,3.13920638461227,0.00169406088826099,0.122715736152969
"YDR461W",27.1109181065551,-0.71450472369202,0.228266676723065,-3.1301315371532,0.00174728045027177,0.122715736152969
"YEL009C-A",20.8527549079356,-1.04332750682576,0.333619414436445,-3.12729853743124,0.00176420684286813,0.122715736152969
"YML028W",52001.9250894144,-0.360827384348294,0.115601809390682,-3.121295300222,0.00180057379022288,0.122715736152969
"YJL101C",565.850262110067,0.352695734651816,0.113220393646074,3.11512549368394,0.00183866666323448,0.122715736152969
"YGL045W",353.320321547466,0.341012067352305,0.10949378924643,3.11444210397005,0.00184293120633766,0.122715736152969
"YBR173C",2301.13620800232,-0.354211540156591,0.113830258298328,-3.11175205478553,0.00185980630885353,0.122715736152969
"YGL058W",967.391853919388,-0.233278839327667,0.0750711330667988,-3.10743730376488,0.0018871701024697,0.122715736152969
"YJL031C",575.931441786731,-0.277558765260669,0.0893867107045481,-3.10514575458639,0.00190185280896905,0.122715736152969
"YCL050C",3712.37920020854,-0.421005343531051,0.135690216818175,-3.10269489874275,0.00191767229823389,0.122715736152969
"YIL040W",1076.24675213325,-0.466960470845407,0.150503179573105,-3.10266183192885,0.00191788655766717,0.122715736152969
"YDR258C",2348.76753946326,-0.341664800488597,0.110181186523424,-3.10093593352218,0.00192910023890884,0.122715736152969
