"","RNAseq_OLD_rep01.bam","RNAseq_OLD_rep02.bam","RNAseq_OLD_rep03.bam","RNAseq_OLD_rep04.bam","RNAseq_OLD_rep05.bam","RNAseq_OLD_rep06.bam","RNAseq_OLD_rep07.bam","RNAseq_OLD_rep08.bam","RNAseq_OLD_rep09.bam","RNAseq_OLD_rep10.bam","RNAseq_OLD_rep11.bam","RNAseq_OLD_rep12.bam","RNAseq_YOUNG_rep01.bam","RNAseq_YOUNG_rep02.bam","RNAseq_YOUNG_rep03.bam","RNAseq_YOUNG_rep04.bam","RNAseq_YOUNG_rep05.bam","RNAseq_YOUNG_rep06.bam","RNAseq_YOUNG_rep07.bam","RNAseq_YOUNG_rep08.bam","RNAseq_YOUNG_rep09.bam","RNAseq_YOUNG_rep10.bam","RNAseq_YOUNG_rep11.bam","RNAseq_YOUNG_rep12.bam"
"YLR131C",914.854687819096,763.583983237578,746.913178531726,820.630901856679,757.41803573465,750.667669056906,491.820272550158,913.056526641945,729.16274199292,818.946489487295,856.725622285172,780.949606746266,749.492550591222,647.933292312654,723.079747364652,815.497638223968,603.947600996501,662.37981117153,706.641349668578,802.152899810848,693.325481836285,732.927177954065,667.277049620015,754.52489515403
"YLR132C",65.9052827610826,63.5422496629296,35.8600291476137,66.3816321548779,11.7844390284033,66.5841310342092,62.9297592829926,83.9703148180224,35.2820681609478,30.21558294546,70.1234495108859,65.2414259999998,70.3528677025552,76.2710046950896,46.5003052967622,57.7982822218538,67.5220920368759,46.1300225637316,21.0124630408057,43.647981247265,33.0942950757177,86.9427257359507,85.9445114561235,66.7420821800416
"YLR133W",341.813839404937,320.942210161916,190.570440613033,202.031054384411,269.970785014331,334.744877939106,220.738232561882,288.587633684928,169.059909937875,363.628911998812,282.018220858998,190.855514865671,254.208361965233,279.166687087852,213.901404365106,190.553711700174,290.094913936208,169.143416067016,259.153710836604,164.892373600779,258.135501590598,273.000158810885,261.696209040556,303.16742413985
"YLR134W",142.980952430823,63.5422496629296,59.4251911589028,87.5467902332448,103.917325977738,62.0235741140579,28.0763541416429,107.134539595408,54.3931884147945,103.149748675881,133.386996352229,86.6639837910445,118.192817740293,71.8280335478028,55.8003663561146,67.7323619787349,81.2765922666099,43.7643803809761,63.0373891224172,73.7165905509364,82.7357376892942,85.2038712212317,74.3564874395675,71.2669691075021
"YLR135W",273.674479262123,233.70624028569,215.160174885682,218.385949263149,202.478088760748,261.775967216685,250.750886989155,234.537775871028,229.33344304616,190.670747552386,258.38966721946,247.33316722388,238.261711952654,254.730345777775,203.438835673334,279.960429512104,190.062184992688,223.553186270392,250.593077745905,238.608964151715,258.962858967491,242.570204803303,227.897805658934,153.846155533655
"YLR136C",167.555803629871,394.177345366648,150.612122419978,178.941791026193,211.048589872314,67.4962424182394,593.476037545761,219.094959352771,314.598441101784,199.006080778719,275.920529597182,243.438156716417,242.01386489679,165.87092283204,253.426663867354,213.131165693086,195.063821439864,311.081947032344,132.300693219888,216.299995958669,74.4621639203647,166.930033413025,211.481438302146,125.565612237028
"YLR137W",197.715848283248,250.938036804451,144.464688851815,123.142737910498,183.194461259724,96.6838067072078,116.178017137833,90.7265470447599,158.769306724265,228.179747070888,115.09392256678,176.249225462686,135.077505988906,101.447841196381,127.875839566096,87.6005214924971,162.55318453322,162.046489518749,128.409496360479,154.22286707367,141.478111448693,113.025543456736,202.790420289729,118.778281845837
"YLR138W",3075.20751595357,3361.27730844073,2846.26174205917,3022.76939464676,2955.75157085134,2031.2720522354,3091.30340600916,2435.13912972265,2700.54830048588,3151.79787620747,2612.86070568823,2763.50995504477,2573.97691967749,2460.66552040566,2369.19055487003,3524.79211737336,2517.07354204132,3108.45382814068,3135.52642931134,3028.19994342136,3068.66851089592,2301.37395023062,2612.13374706532,2588.23532250738
"YLR139C",491.497023980955,358.636765046704,662.898253100174,588.776215634569,735.991782955735,623.8841866767,263.336838845754,673.692870608961,533.641280934335,361.545078692228,630.348834190246,483.955055552237,566.575094564578,490.207816583974,517.315896426479,792.920184231057,461.400962251985,721.520865740417,750.222754493952,708.067251344521,760.341429364613,579.907980658791,681.76207964071,668.552043532282
"YLR141W",180.960267920261,262.784896911099,157.7841282495,179.903843666118,177.837898064996,172.38905158172,193.630028563054,174.696861862782,186.700944018349,186.503080939219,207.32150290175,163.590441313432,164.156691305962,188.826273759688,160.426053273829,168.879355866979,226.324049234714,195.165480077326,217.128784754992,147.433181101873,200.220485208092,166.930033413025,237.554492339397,132.352942628218
