"Gene_Name" "Gene_ID"
"271" "ALG3" "YBL082C"
"272" "YBL081W" "YBL081W"
"273" "BOI1-CDC27" "YBL085W-YBL084C"
"274" "PET112" "YBL080C"
"275" "CDC27-YBL083C" "YBL084C-YBL083C"
"276" "NUP170" "YBL079W"
"277" "ALG3-YBL081W" "YBL082C-YBL081W"
"278" "PET112-NUP170" "YBL080C-YBL079W"
"279" "ATG8" "YBL078C"
"280" "YBL077W" "YBL077W"
"281" "ILS1" "YBL076C"
"282" "SSA3" "YBL075C"
"283" "NUP170-ATG8" "YBL079W-YBL078C"
"284" "ATG8-YBL077W" "YBL078C-YBL077W"
"285" "AAR2" "YBL074C"
"286" "YBL073W" "YBL073W"
"287" "SNR56" "snR56"
"288" "RPS8A" "YBL072C"
"289" "ILS1-SSA3" "YBL076C-YBL075C"
"290" "YBL071C-B" "YBL071C-B"
"291" "KTI11" "YBL071W-A"
"292" "YBL071C" "YBL071C"
"293" "AST1" "YBL069W"
"294" "YBL070C" "YBL070C"
"295" "SSA3-AAR2" "YBL075C-YBL074C"
"296" "YBL068W-A" "YBL068W-A"
"297" "PRS4" "YBL068W"
"298" "YBL073W-SNR56" "YBL073W-snR56"
"299" "SNR56-RPS8A" "snR56-YBL072C"
"300" "UBP13" "YBL067C"
"301" "RPS8A-YBL071C-B" "YBL072C-YBL071C-B"
"302" "YBL071C-B-KTI11" "YBL071C-B-YBL071W-A"
"303" "SEF1" "YBL066C"
"304" "AST1-PRS4" "YBL069W-YBL068W"
"305" "PRS4-UBP13" "YBL068W-YBL067C"
"306" "YBL065W" "YBL065W"
"307" "PRX1" "YBL064C"
"308" "UBP13-SEF1" "YBL067C-YBL066C"
"309" "KIP1" "YBL063W"
"310" "YBL062W" "YBL062W"
"311" "SKT5" "YBL061C"
"312" "YBL065W-PRX1" "YBL065W-YBL064C"
"313" "PRX1-KIP1" "YBL064C-YBL063W"
"314" "YEL1" "YBL060W"
"315" "CMC2" "YBL059C-A"
"316" "KIP1-YBL062W" "YBL063W-YBL062W"
"317" "YBL059W" "YBL059W"
"318" "SHP1" "YBL058W"
"319" "SKT5-YEL1" "YBL061C-YBL060W"
"320" "PTH2" "YBL057C"
"321" "PTC3" "YBL056W"
"322" "YEL1-CMC2" "YBL060W-YBL059C-A"
"323" "CMC2-YBL059W" "YBL059C-A-YBL059W"
"324" "YBL055C" "YBL055C"
"325" "YBL059W-SHP1" "YBL059W-YBL058W"
"326" "TOD6" "YBL054W"
"327" "SHP1-PTH2" "YBL058W-YBL057C"
"328" "PTH2-PTC3" "YBL057C-YBL056W"
"329" "YBL053W" "YBL053W"
"330" "SAS3" "YBL052C"
"331" "PTC3-YBL055C" "YBL056W-YBL055C"
"332" "YBL055C-TOD6" "YBL055C-YBL054W"
"333" "PIN4" "YBL051C"
"334" "SEC17" "YBL050W"
"335" "MOH1" "YBL049W"
"336" "SAS3-PIN4" "YBL052C-YBL051C"
"337" "RRT1" "YBL048W"
"338" "EDE1" "YBL047C"
"339" "PIN4-SEC17" "YBL051C-YBL050W"
"340" "SEC17-MOH1" "YBL050W-YBL049W"
"341" "PSY4" "YBL046W"
"342" "COR1" "YBL045C"
"343" "YBL044W" "YBL044W"
"344" "ECM13" "YBL043W"
"345" "FUI1" "YBL042C"
"346" "PSY4-COR1" "YBL046W-YBL045C"
"347" "COR1-YBL044W" "YBL045C-YBL044W"
"348" "PRE7" "YBL041W"
"349" "YBL044W-ECM13" "YBL044W-YBL043W"
"350" "ERD2" "YBL040C"
"351" "ECM13-FUI1" "YBL043W-YBL042C"
"352" "YBL039W-B" "YBL039W-B"
"353" "URA7" "YBL039C"
"354" "YBL039C-A" "YBL039C-A"
"355" "FUI1-PRE7" "YBL042C-YBL041W"
"356" "MRPL16" "YBL038W"
"357" "APL3" "YBL037W"
"358" "ERD2-YBL039W-B" "YBL040C-YBL039W-B"
"359" "YBL039W-B-URA7" "YBL039W-B-YBL039C"
"360" "YBL036C" "YBL036C"
"361" "URA7-MRPL16" "YBL039C-YBL038W"
"362" "POL12" "YBL035C"
"363" "MRPL16-APL3" "YBL038W-YBL037W"
"364" "STU1" "YBL034C"
"365" "APL3-YBL036C" "YBL037W-YBL036C"
"366" "YBL036C-POL12" "YBL036C-YBL035C"
"367" "POL12-STU1" "YBL035C-YBL034C"
"368" "RIB1" "YBL033C"
"369" "HEK2" "YBL032W"
"370" "SHE1" "YBL031W"
"371" "PET9" "YBL030C"
"372" "STU1-RIB1" "YBL034C-YBL033C"
"373" "YBL029C-A" "YBL029C-A"
"374" "RIB1-HEK2" "YBL033C-YBL032W"
"375" "YBL029W" "YBL029W"
"376" "HEK2-SHE1" "YBL032W-YBL031W"
"377" "YBL028C" "YBL028C"
"378" "SHE1-PET9" "YBL031W-YBL030C"
"379" "RPL19B" "YBL027W"
"380" "PET9-YBL029C-A" "YBL030C-YBL029C-A"
"381" "YBL029C-A-YBL029W" "YBL029C-A-YBL029W"
"382" "LSM2" "YBL026W"
"383" "RRN10" "YBL025W"
"384" "YBL029W-YBL028C" "YBL029W-YBL028C"
"385" "NCL1" "YBL024W"
"386" "YBL028C-RPL19B" "YBL028C-YBL027W"
"387" "RPL19B-LSM2" "YBL027W-YBL026W"
"388" "MCM2" "YBL023C"
"389" "LSM2-RRN10" "YBL026W-YBL025W"
"390" "RRN10-NCL1" "YBL025W-YBL024W"
"391" "PIM1" "YBL022C"
"392" "HAP3" "YBL021C"
"393" "RFT1" "YBL020W"
"394" "MCM2-PIM1" "YBL023C-YBL022C"
"395" "APN2" "YBL019W"
"396" "POP8" "YBL018C"
"397" "PIM1-HAP3" "YBL022C-YBL021C"
"398" "PEP1" "YBL017C"
"399" "HAP3-RFT1" "YBL021C-YBL020W"
"400" "RFT1-APN2" "YBL020W-YBL019W"
"401" "APN2-POP8" "YBL019W-YBL018C"
"402" "POP8-PEP1" "YBL018C-YBL017C"
"403" "FUS3" "YBL016W"
"404" "ACH1" "YBL015W"
"405" "PEP1-FUS3" "YBL017C-YBL016W"
"406" "tI(AAU)B" "tI(AAU)B"
"407" "tG(GCC)B" "tG(GCC)B"
"408" "FUS3-ACH1" "YBL016W-YBL015W"
"409" "RRN6" "YBL014C"
"410" "ACH1-tI(AAU)B" "YBL015W-tI(AAU)B"
"411" "FMT1" "YBL013W"
"412" "tI(AAU)B-tG(GCC)B" "tI(AAU)B-tG(GCC)B"
"413" "tG(GCC)B-RRN6" "tG(GCC)B-YBL014C"
"414" "YBL012C" "YBL012C"
"415" "SCT1" "YBL011W"
"416" "YBL010C" "YBL010C"
"417" "RRN6-FMT1" "YBL014C-YBL013W"
"418" "ALK2" "YBL009W"
"419" "YBL008W-A" "YBL008W-A"
"420" "HIR1" "YBL008W"
"421" "SCT1-YBL010C" "YBL011W-YBL010C"
"422" "YBL010C-ALK2" "YBL010C-YBL009W"
"423" "SLA1" "YBL007C"
"424" "ALK2-YBL008W-A" "YBL009W-YBL008W-A"
"425" "YBL006W-A" "YBL006W-A"
"426" "LDB7" "YBL006C"
"427" "HIR1-SLA1" "YBL008W-YBL007C"
"428" "PDR3" "YBL005W"
"429" "YBL005W-A" "YBL005W-A"
"430" "YBL005W-B" "YBL005W-B"
