"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR327C",2762.90810687978,-0.526126135137656,0.164983230816667,-3.18896734251918,0.0014278200705329,0.118005129358749
"YIL002W-A",4453.89690153475,-0.260333319456976,0.0820941665752475,-3.17115491048142,0.0015183415035861,0.121468132153547
"YHR049C-A",6.51069037502984,1.91161457500487,0.603662371204529,3.16669493775219,0.00154181968371347,0.121468132153547
"YHL033C",8749.604797863,0.416747185171778,0.131611390434884,3.16649785246338,0.00154286485300145,0.121468132153547
"YLR043C",14881.9344425554,-0.299291852537652,0.0946310132361092,-3.16272480133869,0.00156300007942301,0.121468132153547
"YGL056C",820.062710133926,-0.337524504268121,0.106812160685338,-3.15998199177383,0.00157778890519732,0.121468132153547
"YLR390W-A",9150.57896910392,-0.278999110495641,0.0884952583267171,-3.15270123813413,0.00161767277216647,0.122715736119053
"YOR136W",1484.12215544175,-0.440185083310792,0.14015044477686,-3.14080404105482,0.00168484723593685,0.122715736119053
"YDR175C",774.411047027897,0.365588654154148,0.116458941958708,3.13920638471686,0.00169406088765629,0.122715736119053
"YDR461W",27.1109181065551,-0.714504723697414,0.22826667675721,-3.13013153670861,0.00174728045291627,0.122715736119053
"YEL009C-A",20.8527549079356,-1.04332750683435,0.333619414459049,-3.12729853724511,0.00176420684398515,0.122715736119053
"YML028W",52001.9250894144,-0.360827384348283,0.115601809382835,-3.12129530043377,0.00180057378892791,0.122715736119053
"YJL101C",565.850262110067,0.352695734651858,0.113220393644388,3.11512549373069,0.00183866666294304,0.122715736119053
"YGL045W",353.320321547466,0.341012067352243,0.109493789248777,3.11444210390273,0.0018429312067582,0.122715736119053
"YBR173C",2301.13620800232,-0.354211540156553,0.113830258292287,-3.11175205495036,0.00185980630781517,0.122715736119053
"YGL058W",967.391853919388,-0.233278839327737,0.0750711330713837,-3.10743730357602,0.00188717010367544,0.122715736119053
"YJL031C",575.931441786731,-0.277558765260655,0.0893867107080235,-3.10514575446549,0.00190185280974643,0.122715736119053
"YCL050C",3712.37920020854,-0.421005343531011,0.135690216807169,-3.10269489899412,0.00191767229660522,0.122715736119053
"YIL040W",1076.24675213325,-0.466960470845283,0.15050317956166,-3.10266183216397,0.00191788655614356,0.122715736119053
"YDR258C",2348.76753946326,-0.341664800488609,0.110181186518029,-3.10093593367415,0.00192910023791884,0.122715736119053
"YBR079C",8958.68328702236,0.264359795401639,0.0853646728385545,3.09682901147654,0.00195602664750397,0.122715736119053
"YEL064C",108.946223604,0.416847025765026,0.134615103378027,3.09658437504173,0.00195764140641685,0.122715736119053
"YEL052W",796.481521874918,0.325667159843753,0.105271603000072,3.09358982444231,0.00197750680044829,0.122715736119053
"YDL010W",901.542680784669,0.277356259318163,0.0897215438895278,3.0913005649977,0.0019928180149471,0.122715736119053
"YDR340W",9.77550281770092,-1.48197752423006,0.479833837009536,-3.08852233820394,0.00201154570473805,0.122715736119053
"YDL123W",335.817475526008,-0.4375142278515,0.141787467741656,-3.08570450421382,0.00203070524182774,0.122715736119053
"YJR010W",550.537961920871,-0.579890933322789,0.188547659043843,-3.07556686868197,0.00210102810403134,0.125614658985704
"YAL044W-A",1086.74706342503,-0.275025715399692,0.0895722981811281,-3.07043272288884,0.00213748836062388,0.126449311439013
"YLR327C",200.316184698835,-0.49167425603278,0.161045282663068,-3.05301867836414,0.00226551836394316,0.132203346174597
"YOL136C",635.733687572772,-0.39354989315716,0.128996001145265,-3.05086893906094,0.00228180152650105,0.132203346174597
"YBL098W",266.752644293913,0.368282208345654,0.121999091210799,3.01872911257435,0.00253837386379411,0.145567970556356
"YHR131W-A",12.6044469900708,-1.48704803900985,0.493683981538482,-3.01214561261582,0.00259408130933029,0.147259969277134
"YHL036W",200.943587577157,0.661007341810926,0.220145347472685,3.00259510091597,0.00267688320876688,0.14954541335332
"YJL124C",4556.96573306237,-0.209205500486291,0.0697030257060796,-3.00138334551585,0.00268755991969489,0.14954541335332
"YGR177C",418.096173259905,0.346348948217649,0.115515396012191,2.99829252354463,0.00271496943862457,0.149589492598726
"YML015C",1407.7508055114,-0.323807549443914,0.108124191561978,-2.99477429394978,0.0027464799036535,0.149856476296434
"YNL024C",89.5120514226955,0.543285429540569,0.181899535841726,2.98673345716116,0.00281975450986922,0.149981978383981
"YDR237W",736.030865790255,0.266879666494879,0.0893684849616357,2.98628388530303,0.00282390359307624,0.149981978383981
"YJR111C",306.100471874875,-0.847923506189727,0.284517530961834,-2.98021532565412,0.00288045828851758,0.149981978383981
"YPL250C",272.84207491396,-0.658990289961974,0.221339034529064,-2.97728907765449,0.00290809667033182,0.149981978383981
"YDL137W",7552.76896237256,-0.275411579022287,0.0925857560203318,-2.97466468774966,0.00293308966143229,0.149981978383981
"YDR519W",2373.36125453827,-0.386327021399237,0.12988084832845,-2.97447257521964,0.0029349268945177,0.149981978383981
"YJR117W",2238.82911616095,-0.29656625154391,0.0997061355259398,-2.97440322984691,0.00293559032424162,0.149981978383981
"YLR257W",6844.953540166,0.299785019399996,0.101013211377888,2.96778030626616,0.00299958641411041,0.15139834674114
